Class,Axioms,Coverage
file:/C:/ccviews/forget/experiment/experiment58/non-pou-domain-containing-octamer-binding-protein,15,0.0758
file:/C:/ccviews/forget/experiment/experiment58/plastic-surgery--technique-,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/fluids-and-secretions,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Biological-Region,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/transcriptional-repressor-protein-yy1,16,0.0808
file:/C:/ccviews/forget/experiment/experiment58/perceptual-disorder,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/dna-recombination-process,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/srsf-protein-kinase-1,10,0.0505
file:/C:/ccviews/forget/experiment/experiment58/axons,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ear-disease,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/zinc-finger-protein-350,8,0.0404
file:/C:/ccviews/forget/experiment/experiment58/glaucoma,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/eustachian-tube-disorder-nos,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/pseudopodia,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/high,5,0.0253
file:/C:/ccviews/forget/experiment/experiment58/-equal,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/pregnancy-disorder,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Hydrogen,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Acid-Chyme,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Anus,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/pregnancy-complication,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Gizzard,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/black-stools,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/rectum-nos,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/shoulder-girdle-and-upper-limb-peripheral-nerve-injury,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/cell-surface-extensions,14,0.0707
file:/C:/ccviews/forget/experiment/experiment58/cellular-structures,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/injury--disease-,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/rheumatic-fever-and-rheumatic-heart-diseases,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-5733,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-5731,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/matrin-3,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-5732,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-5730,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/open-injury-axillary-nerve,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/circadian-rhythm-pathway-pid,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/p53-pathway-for-transcriptional-regulation,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/reconstructive-surgery,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Carbohydrate,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/hnrnpm-gene,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/rna-processing,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Homogenate,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/microvilli,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/human,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Feces,24,0.1212
file:/C:/ccviews/forget/experiment/experiment58/flagella,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Agent-Role,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/arctium-lappa,5,0.0253
file:/C:/ccviews/forget/experiment/experiment58/Homogeneous-Mixture,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/znf350-gene,2,0.0101
http://www.w3.org/2002/07/owl#Thing,198,1.0000
file:/C:/ccviews/forget/experiment/experiment58/basal-ganglia-disease,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/nuclear-structure,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/dna-binding,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/anal-canal,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/morc-family-cw-type-zinc-finger-protein-3,8,0.0404
file:/C:/ccviews/forget/experiment/experiment58/dna-repair,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/gastrointestinal-contents,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/cellulosomes,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/fecal-pellets,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/melena,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/recombination-repair,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/neuropathy,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/rna-binding-protein,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/yy1-gene,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/serinethreonine-protein-kinase,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/consciousness-disorder,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/srpk1-gene,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/CHV_Concept,3,0.0152
file:/C:/ccviews/forget/experiment/experiment58/meconium,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-7150,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/rna-recognition-motif,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/disease-of-eye-nos,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/pili-sex,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Intestine,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-7157,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-7158,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-7155,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-16463,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-7153,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-16464,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ID-7154,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-7151,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/spliceosome-pathway,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-7152,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/heterogeneous-nuclear-ribonucleoprotein-m,8,0.0404
file:/C:/ccviews/forget/experiment/experiment58/movement-disorder,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Chemical-Entity,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/chorea,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/transcription-repressorcorepressor,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/cell-nucleus,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/hdac-class-i-signaling-pathway,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/stereocilia,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Suspension,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/positive,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/arctium,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Move-Out-Of,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/dysfunction-of-eustachian-tube,3,0.0152
file:/C:/ccviews/forget/experiment/experiment58/Food,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/faeces-pale,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/fimbriae-bacterial,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/mental-disorder,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/cecal-feces,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Coprophage,3,0.0152
file:/C:/ccviews/forget/experiment/experiment58/vascular-plant,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/c2h2-zinc-finger,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/transcription-regulatory-protein,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/eye-surgery,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Secretor,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/alternate-splicing,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-7160,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ligand-binding-protein,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/mtor-signaling-pathway-pid,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/shoulder-surgery,3,0.0152
file:/C:/ccviews/forget/experiment/experiment58/e2f-transcription-factor-pathway,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/gene-silencing-pathway,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Crop,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/httpsbmi,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/Soil,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Oligochaete,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Esophagus,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/ID-7164,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/nuclear-matrix-protein,3,0.0152
file:/C:/ccviews/forget/experiment/experiment58/blepharoplasty,6,0.0303
file:/C:/ccviews/forget/experiment/experiment58/Pharynx,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/transcriptional-repression,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/transcription-factor,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/Time-Interval,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Extracellular-Digestion,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/-enclose,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/excreta,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Organic-Molecule,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Heterotroph,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/defecation,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/excrement,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Mesohyl,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/mucous-and-bloody-stool,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Entity,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/stool,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/cilia,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/nuclear-matrix,22,0.1111
file:/C:/ccviews/forget/experiment/experiment58/metal-ion-binding,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/sequence-specific-dna-binding-protein,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/body-fluid,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Mouth,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/paxip1-gene,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Peat,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/root-vegetable,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Condition,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Animal-Cell,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/ino80-complex,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/rna-binding,8,0.0404
file:/C:/ccviews/forget/experiment/experiment58/Polymer,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Nutrition,3,0.0152
file:/C:/ccviews/forget/experiment/experiment58/chromosome-condensation,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/choreatic-disease,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/UMLS_Concept,5,0.0253
file:/C:/ccviews/forget/experiment/experiment58/neurites,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Estivation,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Loam,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/chorea-gravidarum,9,0.0455
file:/C:/ccviews/forget/experiment/experiment58/cell-aging,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/cell-component,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/gastrointestinal-fluid-or-secretion,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/body-temperature-regulation,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/rna-splicing,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/absolute-glaucoma,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/immune-response-process,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/metal-binding-site,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Animal,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Rectum,3,0.0152
file:/C:/ccviews/forget/experiment/experiment58/emotional-disturbance,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/nono-gene,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Elimination,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/double-stranded-rna-biosynthesis-pathway,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Protobiont,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/chromosome-segregation,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/pax-interacting-protein-1,8,0.0404
file:/C:/ccviews/forget/experiment/experiment58/protein-methylation,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Saliva,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/stool-tarry,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/orthopedic-surgery,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/axillary-nerve-injury,7,0.0354
file:/C:/ccviews/forget/experiment/experiment58/closed-injury-axillary-nerve,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/brct-domain,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/general-qualifier,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Animal-Organ,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/morc3-gene,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/Torpor,10,0.0505
file:/C:/ccviews/forget/experiment/experiment58/dysfunction,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Earthworm,14,0.0707
file:/C:/ccviews/forget/experiment/experiment58/serinethreonine-phosphorylation,2,0.0101
file:/C:/ccviews/forget/experiment/experiment58/transcriptional-regulation,4,0.0202
file:/C:/ccviews/forget/experiment/experiment58/hibernation,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/dendrites,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/Store,1,0.0051
file:/C:/ccviews/forget/experiment/experiment58/nucleus,1,0.0051
